Sort Name,Array Size,Time Taken,CPU Usage,Number of Threads Used
Bubble Sort,10,55,12.5122,1
Bubble Sort,10,280,5.08829,2
Bubble Sort,10,432,6.12803,4
Bubble Sort,10,1108,7.11476,8
Merge Sort,10,83,6.2201,1
Merge Sort,10,251,4.5644,2
Merge Sort,10,423,8.82552,4
Merge Sort,10,705,11.0948,8
Radix Sort,10,22,7.09196,1
Radix Sort,10,166,4.69789,2
Radix Sort,10,303,6.0588,4
Radix Sort,10,425,6.31383,8
Insertion Sort,10,29,6.64096,1
Insertion Sort,10,219,5.92717,2
Insertion Sort,10,304,5.76043,4
Insertion Sort,10,941,6.98067,8
Quick Sort,10,27,6.58086,1
Quick Sort,10,225,5.57986,2
Quick Sort,10,335,6.11083,4
Quick Sort,10,428,6.30963,8
Selection Sort,10,27,6.8301,1
Selection Sort,10,263,5.80322,2
Selection Sort,10,281,6.08789,4
Selection Sort,10,928,7.02912,8
Bubble Sort,100,55,6.50972,1
Bubble Sort,100,221,5.46895,2
Bubble Sort,100,310,5.96522,4
Bubble Sort,100,510,6.30739,8
Merge Sort,100,93,10.9779,1
Merge Sort,100,231,5.85241,2
Merge Sort,100,432,8.4521,4
Merge Sort,100,1334,12.6207,8
Radix Sort,100,65,6.48014,1
Radix Sort,100,326,5.60235,2
Radix Sort,100,348,7.04756,4
Radix Sort,100,799,7.04664,8
Insertion Sort,100,95,9.13142,1
Insertion Sort,100,249,5.60828,2
Insertion Sort,100,291,4.87531,4
Insertion Sort,100,446,6.28949,8
Quick Sort,100,59,6.50026,1
Quick Sort,100,173,5.48246,2
Quick Sort,100,318,5.84838,4
Quick Sort,100,819,7.0107,8
Selection Sort,100,21,7.14743,1
Selection Sort,100,155,6.18943,2
Selection Sort,100,296,5.99776,4
Selection Sort,100,489,6.29297,8
Bubble Sort,1000,1989,6.26374,1
Bubble Sort,1000,778,5.17839,2
Bubble Sort,1000,515,5.27583,4
Bubble Sort,1000,858,5.93215,8
Merge Sort,1000,140,6.33757,1
Merge Sort,1000,298,5.31915,2
Merge Sort,1000,473,9.25455,4
Merge Sort,1000,886,12.6476,8
Radix Sort,1000,190,6.33991,1
Radix Sort,1000,284,4.91803,2
Radix Sort,1000,479,4.24642,4
Radix Sort,1000,572,6.28511,8
Insertion Sort,1000,626,6.26631,1
Insertion Sort,1000,390,3.99845,2
Insertion Sort,1000,388,6.04329,4
Insertion Sort,1000,1039,7.2241,8
Quick Sort,1000,136,6.39335,1
Quick Sort,1000,297,5.48246,2
Quick Sort,1000,381,5.52274,4
Quick Sort,1000,518,6.30025,8
